receptor,ligand_id
cathepsin_d,cand_tertbutyl_n1s2s4r14dibenzyl2
cathepsin_d,cand_tertbutyl_n2s3r413benzodioxo
cathepsin_d,cand_tertbutyl_n2s3s5r3hydroxy61r
bace1,cand_14benzyl2hydroxy52hydroxy23d
bace1,cand_14benzyl2hydroxy52hydroxy23d_2
bace1,cand_1s1n2s2hydroxy21s2r2hydroxyi
bace1,cand_1s1n2s2hydroxy21s2r2hydroxyi_2
bace1,cand_21r2s23r3as6arhexahydrofuro2
bace1,cand_22r3s33as4r6ar233a456ahexahy
bace1,cand_22r3s33as4r6ar233a456ahexahy_2
bace1,cand_22r3s33as4r6ar233a456ahexahy_4
bace1,cand_22r3s33as4r6ar233a456ahexahy_5
bace1,cand_22r3s33as4r6ar233a456ahexahy_6
bace1,cand_2h13diazepin2one_hexahydro56
bace1,cand_2h13diazepin2one_hexahydro56_2
bace1,cand_2h13diazepin2one_hexahydro56_3
bace1,cand_2h13diazepin2one_hexahydro56_4
bace1,cand_2pyridinesulfonamide_n456dih
bace1,cand_2pyridinesulfonamide_n46s56d
bace1,cand_2r3s33as4r6ar233a456ahexahyd_2
bace1,cand_2r3s33as4r6ar233a456ahexahyd_3
bace1,cand_2r3s33as4r6ar233a456ahexahyd_5
bace1,cand_2r44aminopiperidin1yl2benzyl
bace1,cand_2r4s2benzyl55r5benzyl2oxo3py
bace1,cand_2r4s2benzyl55r5benzyl2oxo3py_2
bace1,cand_2s12s4r4benzyl2hydroxy52r2hy
bace1,cand_2s12s4r4benzyl2hydroxy52r2hy_2
bace1,cand_2s12s4r4benzyl2hydroxy52r2hy_3
bace1,cand_2s12s4r4benzyl2hydroxy52r2hy_4
bace1,cand_2s12s4r4benzyl2hydroxy52r2hy_5
bace1,cand_2s12s4r4benzyl2hydroxy52r2hy_6
bace1,cand_2s12s4r4benzyl2hydroxy52r2hy_7
bace1,cand_2s12s4r4benzyl2hydroxy52r2hy_8
bace1,cand_2s12s4s4benzyl2hydroxy51s2r2
bace1,cand_3ar6s7as52r3r2hydroxy33hydro
bace1,cand_3as4r6ar233a456ahexahydrofur
bace1,cand_3as4r6ar233a456ahexahydrofur_2
bace1,cand_3r3as6arhexahydrofuro23bfura
bace1,cand_4r32s3s32ethyl3hydroxyphenyl
bace1,cand_4r5s6s7r13dibenzyl47biscyclo
bace1,cand_4r5s6s7r13dibenzyl56dihydrox
bace1,cand_4r5s6s7r13dibenzyl56dihydrox_2
bace1,cand_4r5s6s7r13dibenzyl56dihydrox_3
bace1,cand_4r5s6s7r13dibenzyl56dihydrox_4
bace1,cand_4r5s6s7r13dibenzyl56dihydrox_5
bace1,cand_4r5s6s7r47bis34difluoropheny
bace1,cand_4r5s6s7r47bis4fluorophenylme
bace1,cand_4r5s6s7r47biscyclohexylmethy
bace1,cand_4r5s6s7r47dibenzyl13bis3fluo
bace1,cand_4r5s6s7r47dibenzyl1butyl56di
bace1,cand_4r5s6s7r47dibenzyl1cyclopent
bace1,cand_4r5s6s7r47dibenzyl1cycloprop
bace1,cand_4r5s6s7r47dibenzyl56dihydrox
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_2
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_3
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_4
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_5
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_6
bace1,cand_4r5s6s7r56dihydroxy13bis4hyd
bace1,cand_4r5s6s7r56dihydroxy13bis4hyd_2
bace1,cand_4r5s6s7r56dihydroxy13bis4hyd_3
bace1,cand_4r5s6s7rhexahydro56dihydroxy
bace1,cand_4thiazolidinecarboxamide_n11
bace1,cand_52s2ntertbutylcarbamoyl4thio
bace1,cand_52s43pyridylmethyl2n222trifl
bace1,cand_5aminon314hydroxy6oxo2phenet
bace1,cand_5cyanon31235cyano2pyridylsul
bace1,cand_5cyanon314hydroxy2oxo4a56788
bace1,cand_5cyanon314hydroxy2oxo62pheny
bace1,cand_5cyanon314hydroxy2oxo67dihyd
bace1,cand_5cyanon31s12r4hydroxy6oxo2ph
bace1,cand_5r6r24bishydroxymethylbenzyl
bace1,cand_benzamide_334r5r6rdihydro5hy
bace1,cand_carbamic_acid_1s2r313benzodi
bace1,cand_carbamic_acid_1s2r313benzodi_2
bace1,cand_carbamic_acid_1s2r313benzodi_3
bace1,cand_carbamic_acid_1s2r313benzodi_4
bace1,cand_carbamic_acid_1s2r313benzodi_5
bace1,cand_cid_172918925
bace1,cand_cid_9830191
bace1,cand_je2147
bace1,cand_methyl_n1s12s2benzyl2hydroxy
bace1,cand_methyl_n1s12s2benzyl2hydroxy_2
bace1,cand_methyl_n1s12s2benzyl2hydroxy_3
bace1,cand_methyl_n1s12s2benzyl2hydroxy_4
bace1,cand_n14s22dimethyl13oxazolidin4y
bace1,cand_n2hydroxy1indanyl52tertiaryb
bace1,cand_n314hydroxy6oxo2phenethyl2pr
bace1,cand_n3156dihydro4hydroxy2oxo6phe
bace1,cand_n3cyclopropyl4hydroxy2oxo567
bace1,cand_n3cyclopropyl4hydroxy2oxo61p
bace1,cand_sulfonamidesubstituted_cyclo
bace1,cand_sulfonamidesubstituted_cyclo_2
bace1,cand_sulfonamidesubstituted_cyclo_3
bace1,cand_sulfonamidesubstituted_cyclo_4
bace1,cand_tertbutyl_n1s2s4r14dibenzyl2
bace1,cand_tertbutyl_n2s3r413benzodioxo
bace1,cand_tertbutyl_n2s3s5r3hydroxy61r
